X,Y,OBJECTID_1,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin1Name,admin1Pcod,reached
45.42684058,2.107181203,1,Banadir,SO2201,Banadir,,Banadir,SO22,2345667
43.17024053,10.18762713,2,Borama,SO1101,Borama,Boorama,Awdal,SO11,34334
43.73256208,10.28594953,3,Baki,SO1102,Baki,,Awdal,SO11,12121
43.57896908,10.64771236,4,Lughaye,SO1103,Lughaye,,Awdal,SO11,
44.28072933,9.521625922,6,Hargeysa,SO1201,Hargeysa,Hargeisa,Woqooyi Galbeed,SO12,
45.28539429,10.35935922,7,Berbera,SO1202,Berbera,,Woqooyi Galbeed,SO12,
43.68093127,9.859567765,8,Gebiley,SO1203,Gebiley,Gabiley,Woqooyi Galbeed,SO12,
45.75867851,9.141337073,9,Burco,SO1301,Burco,Burao,Togdheer,SO13,
46.66129357,8.460161699,10,Buuhoodle,SO1302,Buuhoodle,Buhodle,Togdheer,SO13,
45.01097446,9.257387555,11,Owdweyne,SO1303,Owdweyne,Oodweyne,Togdheer,SO13,
45.42914462,9.992453327,12,Sheikh,SO1304,Sheikh,Sheekh,Togdheer,SO13,
47.63641626,8.438007953,13,Laas Caanood,SO1401,Laas Caanood,"Las Caanood, Lascaanod, Lasanod, Las Anod",Sool,SO14,
46.49008594,9.282376378,14,Caynabo,SO1402,Caynabo,Ainabo,Sool,SO14,
48.54121683,9.179457911,15,Taleex,SO1403,Taleex,Taleh,Sool,SO14,
47.50747139,9.14164324,16,Xudun,SO1404,Xudun,Hudun,Sool,SO14,
47.80759717,10.29003796,17,Ceerigaabo,SO1501,Ceerigaabo,"Ceerigaavo, Erigavo, Erigabo",Sanaag,SO15,
46.6885411,10.14760868,18,Ceel Afweyn,SO1502,Ceel Afweyn,"Ceel Afweyne, Ceel-afwein, El Afwein",Sanaag,SO15,
48.6956832,10.53683176,19,Laasqoray,SO1503,Laasqoray,Lasqoray,Sanaag,SO15,
49.39992533,10.92130875,20,Bossaso,SO1601,Bossaso,"Bossaaso, Bossaso , Bosaaso",Bari,SO16,
50.32925765,9.230236391,21,Bandarbeyla,SO1602,Bandarbeyla,"Bandar Beyla, Bander-beyla, Benderbela",Bari,SO16,
50.79346491,11.66721648,22,Caluula,SO1603,Caluula,"Calawla, Alula",Bari,SO16,
50.50475922,10.55098687,23,Iskushuban,SO1604,Iskushuban,,Bari,SO16,
50.08916911,11.05864096,24,Qandala,SO1605,Qandala,Kandala,Bari,SO16,
49.5076546,9.502091587,25,Qardho,SO1606,Qardho,Gardo,Bari,SO16,
48.78638704,8.470396485,26,Garoowe,SO1701,Garoowe,Garowe,Nugaal,SO17,
48.3991244,7.802199579,27,Burtinle,SO1702,Burtinle,,Nugaal,SO17,
49.5654894,8.091889847,28,Eyl,SO1703,Eyl,,Nugaal,SO17,
47.68801167,6.935230038,29,Gaalkacyo,SO1801,Gaalkacyo,"Galkacyo, Gaalkacayo, Galkayo",Mudug,SO18,
47.221656,7.039169139,30,Galdogob,SO1802,Galdogob,Goldogob,Mudug,SO18,
48.20473379,5.970810865,31,Hobyo,SO1803,Hobyo,,Mudug,SO18,
49.00102522,7.162411997,32,Jariiban,SO1804,Jariiban,,Mudug,SO18,
47.83519097,4.791768904,33,Xarardheere,SO1805,Xarardheere,"Hararheere, Harardhere",Mudug,SO18,
46.68404647,5.441127746,34,Dhuusamarreeb,SO1901,Dhuusamarreeb,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",Galgaduud,SO19,
46.12500502,5.826084806,35,Cabudwaaq,SO1902,Cabudwaaq,"Caabudwaaq, Abudwaq",Galgaduud,SO19,
47.03672888,6.13069432,36,Cadaado,SO1903,Cadaado,"Cadado, Adado",Galgaduud,SO19,
46.84156855,4.760488091,37,Ceel Buur,SO1904,Ceel Buur,"El Bur, Ceel Bur",Galgaduud,SO19,
47.05096113,4.051900278,38,Ceel Dheer,SO1905,Ceel Dheer,"El Dere, El Der",Galgaduud,SO19,
45.37964572,4.724338907,39,Belet Weyne,SO2001,Belet Weyne,Beled Weyne,Hiraan,SO20,
45.53232698,3.900062809,40,Bulo Burto,SO2002,Bulo Burto,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti",Hiraan,SO20,
45.61272915,3.403289998,41,Jalalaqsi,SO2003,Jalalaqsi,,Hiraan,SO20,
45.56807936,2.993368897,42,Jowhar,SO2101,Jowhar,Jawhar,Middle Shabelle,SO21,
46.54584983,3.548405491,43,Adan Yabaal,SO2102,Adan Yabaal,"Aden Yabal, Aadan",Middle Shabelle,SO21,
45.65920055,2.487792129,44,Balcad,SO2103,Balcad,Balad,Middle Shabelle,SO21,
46.26397825,3.090739336,45,Cadale,SO2104,Cadale,Adale,Middle Shabelle,SO21,
44.72233562,1.740218506,46,Marka,SO2301,Marka,Merka,Lower Shabelle,SO23,
45.0770161,2.235473745,47,Afgooye,SO2302,Afgooye,Afgoi,Lower Shabelle,SO23,
43.84487183,1.108358583,48,Baraawe,SO2303,Baraawe,Barawe,Lower Shabelle,SO23,
44.06695086,1.674606187,49,Kurtunwaarey,SO2304,Kurtunwaarey,Kuntuwaaray,Lower Shabelle,SO23,
44.44943162,1.934554863,50,Qoryooley,SO2305,Qoryooley,Qoryoley,Lower Shabelle,SO23,
43.52054157,1.383261982,51,Sablaale,SO2306,Sablaale,Sablale,Lower Shabelle,SO23,
44.90646811,2.791643763,52,Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,Lower Shabelle,SO23,
43.63928668,3.266358992,53,Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",Bay,SO24,
44.00688094,2.48537368,54,Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",Bay,SO24,
42.90189323,2.102024004,55,Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",Bay,SO24,
42.84010863,2.815130075,56,Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,Bay,SO24,
43.90621616,4.188905557,57,Xudur,SO2501,Xudur,Hudur,Bakool,SO25,
43.99832531,4.673876509,58,Ceel Barde,SO2502,Ceel Barde,El Barde,Bakool,SO25,
44.52906738,3.835936466,59,Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",Bakool,SO25,
43.4328513,3.816449757,60,Waajid,SO2504,Waajid,Wajid,Bakool,SO25,
43.21161693,4.243280759,61,Rab Dhuure,SO2505,Rab Dhuure,"Yeed, Biyole",Bakool,SO25,
42.35912556,3.205998452,62,Garbahaarey,SO2601,Garbahaarey,"Garbahaaray, Garbaharey",Gedo,SO26,
41.70671272,2.102048168,63,Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",Gedo,SO26,
41.73369967,3.435586299,64,Belet Xaawo,SO2603,Belet Xaawo,Belet Xaawa,Gedo,SO26,
41.44525697,2.678977879,65,Ceel Waaq,SO2604,Ceel Waaq,"Ceel Waq, El Wak, El Waq",Gedo,SO26,
42.14079585,4.002533149,66,Doolow,SO2605,Doolow,"Dolow, Dolo",Gedo,SO26,
42.69760052,3.7929313,67,Luuq,SO2606,Luuq,"Luuk, Luq",Gedo,SO26,
42.74080199,1.197984782,68,Bu'aale,SO2701,Bu'aale,,Middle Juba,SO27,
43.05657105,0.644669421,69,Jilib,SO2702,Jilib,,Middle Juba,SO27,
42.06273981,1.628626653,70,Saakow,SO2703,Saakow,Sakow,Middle Juba,SO27,
42.03412433,-1.002977863,71,Kismaayo,SO2801,Kismaayo,Kismayo,Lower Juba,SO28,
41.78618318,0.590900511,72,Afmadow,SO2802,Afmadow,,Lower Juba,SO28,
41.93154544,-1.147758901,73,Badhaadhe,SO2803,Badhaadhe,Badhadhe,Lower Juba,SO28,
42.8032696,0.123057964,74,Jamaame,SO2804,Jamaame,Jamame,Lower Juba,SO28,